,Address,Area,Beds,FullBaths,HalfBaths,LotSize,Price
0,"32575 S Shadow Mountain Road Black Canyon City, AZ 85324","2,318",3,2,None,None,"$299,900"
1,"32750 S Shangrila Drive Black Canyon City, AZ 85324","2,120",3,2,None,None,"$167,500"
2,"0000 Black Canyon Highway Black Canyon City, AZ 85324",None,None,None,None,None,"$150,000"
3,"34775 S CHOLLA Drive Black Canyon City, AZ 85324","1,220",3,2,None,None,"$129,500"
4,"33403 S. HA-WA-SI TERRACE BLACK CANYON CITY, AZ 85324","2,000",4,2,None,None,"$129,000"
5,"34263 S Bertha Street Black Canyon City, AZ 85324","2,260",5,2,None,None,"$80,000"
6,"33160 S Canyon Road Black Canyon City, AZ 85324","1,248",3,2,None,None,"$77,900"
7,"19421 E Todd Evans Road Black Canyon City, AZ 85324","1,404",3,2,None,None,"$70,500"
8,"18688 E AGUA Vista Black Canyon City, AZ 85324",None,None,None,None,None,"$70,000"
9,"50600 N Old Black Canyon Road Black Canyon City, AZ 85324",None,None,None,None,None,"$67,500"
10,"20101 E SQUAW VALLEY Road Black Canyon City, AZ 85324",None,None,None,None,None,"$54,900"
11,"33259 S Canyon Road Black Canyon City, AZ 85324","1,056",3,1,None,None,"$45,600"
12,"34558 S ROADRUNNER RD Black Canyon City, AZ 85324",784,2,1,None,None,"$40,000"
13,"19260 E Scenic Loop Road Black Canyon City, AZ 85324",None,None,None,None,None,"$30,000"
14,"19000 E MAREN Avenue Black Canyon City, AZ 85324",None,None,None,None,None,"$29,000"
15,"19350 E SAGUARO Drive Black Canyon City, AZ 85324",None,None,None,None,None,"$28,995"
16,"20650 E Amethyst Place Black Canyon City, AZ 85324",None,None,None,None,None,"$15,000"
